Date,Transaction Description,Category,Amount,Type
2025-01-01,Start year preparation.,Other,450.0,Income
2025-01-02,Score each.,Food & Drink,1485.69,Expense
2025-01-02,Quality throughout.,Utilities,1475.58,Expense
2025-01-03,Morning begin task.,Shopping,235.75,Expense
2025-01-04,Instead ahead despite measure ago.,Rent,1185.08,Expense
2025-01-05,Information last everything thank serve.,Investment,2291.0,Income
2025-01-06,Week start setup.,Utilities,89.5,Expense
2025-01-07,Daily work expense.,Travel,32.4,Expense
2025-01-08,Office need supply.,Shopping,67.3,Expense
2025-01-09,Health maintenance regular.,Health & Fitness,75.0,Expense
2025-01-10,Service bill payment.,Utilities,85.25,Expense
2025-01-11,Weekend food enjoy.,Food & Drink,125.8,Expense
2025-01-12,Shopping weekend time.,Shopping,156.9,Expense
2025-01-13,Future choice whatever from.,Food & Drink,1126.88,Expense
2025-01-14,Benefit suggest page southern.,Shopping,448.68,Expense
2025-01-15,Regular monthly fee.,Entertainment,15.99,Expense
2025-01-16,Transport daily cost.,Travel,45.6,Expense
2025-01-17,Medical care need.,Health & Fitness,185.0,Expense
2025-01-18,By two bad fall pick.,Food & Drink,1520.03,Expense
2025-01-19,Court attorney product significant world.,Other,3287.0,Income
2025-01-20,Day off activity.,Entertainment,75.25,Expense
2025-01-21,Herself law.,Entertainment,1914.85,Expense
2025-01-22,Utility payment time.,Utilities,156.8,Expense
2025-01-23,Travel need gas.,Travel,65.3,Expense
2025-01-24,Health purchase need.,Health & Fitness,45.75,Expense
2025-01-25,Have decide environment.,Rent,766.06,Expense
2025-01-25,Play move each left establish.,Health & Fitness,1211.41,Expense
2025-01-26,Range successful simply.,Salary,1077.09,Expense
2025-01-27,Food weekly buy.,Food & Drink,234.5,Expense
2025-01-28,Internet service pay.,Utilities,79.99,Expense
2025-01-29,Source husband.,Shopping,166.81,Expense
2025-01-30,Tree note responsibility.,Health & Fitness,1158.93,Expense
2025-01-31,How trip learn enter.,Food & Drink,1325.91,Expense
2025-01-31,Much section investment on gun.,Rent,1712.08,Expense
2025-01-31,Management sense technology check civil.,Shopping,563.17,Expense
2025-02-01,Month begin expense.,Rent,1250.0,Expense
2025-02-02,As high you more wife.,Health & Fitness,333.68,Expense
2025-02-03,Day regular cost.,Food & Drink,85.25,Expense
2025-02-04,Race mr.,Travel,1406.62,Expense
2025-02-05,Born itself law west.,Rent,1222.17,Expense
2025-02-05,Seven medical blood personal.,Investment,1838.0,Income
2025-02-06,Shopping need item.,Shopping,125.8,Expense
2025-02-07,Current hear claim well two.,Travel,1979.15,Expense
2025-02-07,Food affect upon these story.,Entertainment,1372.38,Expense
