Date,Transaction Description,Category,Amount,Type
2025-01-02,Score each.,Food & Drink,1485.69,Expense
2025-01-02,Quality throughout.,Utilities,1475.58,Expense
2025-01-04,Instead ahead despite measure ago.,Rent,1185.08,Expense
2025-01-05,Information last everything thank serve.,Investment,2291.0,Income
2025-01-13,Future choice whatever from.,Food & Drink,1126.88,Expense
2025-01-14,Benefit suggest page southern.,Shopping,448.68,Expense
2025-01-18,By two bad fall pick.,Food & Drink,1520.03,Expense
2025-01-19,Court attorney product significant world.,Other,3287.0,Income
2025-01-21,Herself law.,Entertainment,1914.85,Expense
2025-01-25,Have decide environment.,Rent,766.06,Expense
2025-01-25,Play move each left establish.,Health & Fitness,1211.41,Expense
2025-01-26,Range successful simply.,Salary,1077.09,Expense
2025-01-29,Source husband.,Shopping,166.81,Expense
2025-01-30,Tree note responsibility.,Health & Fitness,1158.93,Expense
2025-01-31,How trip learn enter.,Food & Drink,1325.91,Expense
2025-01-31,Much section investment on gun.,Rent,1712.08,Expense
2025-01-31,Management sense technology check civil.,Shopping,563.17,Expense
2025-02-02,As high you more wife.,Health & Fitness,333.68,Expense
2025-02-04,Race mr.,Travel,1406.62,Expense
2025-02-05,Born itself law west.,Rent,1222.17,Expense
2025-02-05,Seven medical blood personal.,Investment,1838.0,Income
2025-02-07,Current hear claim well two.,Travel,1979.15,Expense
2025-02-07,Food affect upon these story.,Entertainment,1372.38,Expense
2025-02-08,Around there water.,Food & Drink,465.81,Expense
2025-02-08,Staff within mouth call.,Other,3786.0,Income
2025-02-09,Close month parent who up.,Entertainment,1827.14,Expense
2025-02-11,Human public health.,Health & Fitness,433.13,Expense
2025-02-13,Building different full open.,Salary,294.31,Expense
2025-02-15,Detail audience piece director town.,Other,4009.0,Income
2025-02-16,Method everything.,Shopping,730.37,Expense
2025-02-16,Much rich think.,Utilities,1023.96,Expense
2025-02-18,Drug list imagine behind.,Investment,1398.0,Income
2025-02-19,Interest level rock pull.,Investment,3958.0,Income
2025-02-20,I fund.,Shopping,769.42,Expense
2025-02-26,Court movie cell.,Travel,1942.45,Expense
2025-02-27,Leg themselves away.,Food & Drink,1363.76,Expense
2025-02-28,Anything yourself.,Other,3286.0,Income
2025-02-28,Unit support.,Other,1795.0,Income
2025-03-03,World enter.,Rent,1742.33,Expense
2025-03-04,Institution whatever yet.,Entertainment,314.15,Expense
2025-03-04,Choice father why often.,Food & Drink,1201.9,Expense
2025-03-09,Security arm.,Rent,1858.91,Expense
2025-03-09,Me system church whether.,Travel,486.51,Expense
2025-03-11,Attention attack technology.,Rent,180.45,Expense
2025-03-11,Walk now often.,Rent,1956.19,Expense
2025-03-12,Bank price north first end.,Utilities,265.5,Expense
2025-03-12,Enter capital population.,Utilities,537.46,Expense
